Date,Département,Cumulative cases,New cases (24h),Cumulative Deaths,New deaths (24h) Rate Of,Case fatality rate,Source
#date,#adm1+name,#affected+infected+confirmed+total,#affected+infected+confirmed+new,#affected+infected+dead+total,#affected+infected+dead+new,,
09-05-2020,Grand Anse,2,2,0,0,,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_09-05-2020%20VC.pdf
08-05-2020,Ouest,107,5,6,0,5.6%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_08-05-2020.pdf
08-05-2020,Artibonite,11,0,2,0,18.2%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_08-05-2020.pdf
08-05-2020,Nord-Est,12,0,2,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_08-05-2020.pdf
08-05-2020,Nord,6,0,1,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_08-05-2020.pdf
08-05-2020,Sud-Est,6,0,1,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_08-05-2020.pdf
08-05-2020,Nippes,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_08-05-2020.pdf
08-05-2020,Centre,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_08-05-2020.pdf
08-05-2020,Sud,1,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_08-05-2020.pdf
08-05-2020,Nord-Ouest,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_08-05-2020.pdf
08-05-2020,Grand Anse,0,0,0,0,,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_08-05-2020.pdf
07-05-2020,Ouest,102,14,6,0,5.9%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_07-05-2020.pdf
07-05-2020,Artibonite,11,1,2,0,18.2%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_07-05-2020.pdf
07-05-2020,Nord-Est,12,0,2,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_07-05-2020.pdf
07-05-2020,Nord,6,1,1,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_07-05-2020.pdf
07-05-2020,Sud-Est,6,1,1,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_07-05-2020.pdf
07-05-2020,Nippes,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_07-05-2020.pdf
07-05-2020,Centre,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_07-05-2020.pdf
07-05-2020,Sud,1,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_07-05-2020.pdf
07-05-2020,Nord-Ouest,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_07-05-2020.pdf
07-05-2020,Grand Anse,0,0,0,0,,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_07-05-2020.pdf
06-05-2020,Ouest,88,13,6,0,6.8%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_06-05-2020.pdf
06-05-2020,Artibonite,10,2,2,0,20.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_06-05-2020.pdf
06-05-2020,Nord-Est,12,1,2,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_06-05-2020.pdf
06-05-2020,Nord,5,4,1,0,20.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_06-05-2020.pdf
06-05-2020,Sud-Est,5,0,1,0,20.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_06-05-2020.pdf
06-05-2020,Nippes,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_06-05-2020.pdf
06-05-2020,Centre,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_06-05-2020.pdf
06-05-2020,Sud,1,1,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_06-05-2020.pdf
06-05-2020,Nord-Ouest,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_06-05-2020.pdf
06-05-2020,Grand Anse,0,0,0,0,,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_06-05-2020.pdf
